2018-01-05 11:20:33 INFO  Main:6 - start of setup
2018-01-05 11:35:00 INFO  Main:16 - Test
2018-01-05 15:25:24 INFO  Main:16 - Test
2018-01-05 15:26:20 INFO  Main:16 - Test
2018-01-07 13:04:12 INFO  Main:16 - Test
2018-01-07 13:10:26 INFO  Main:16 - Test
2018-01-07 13:12:06 INFO  Main:16 - Test
2018-01-07 13:12:33 INFO  Main:16 - Test
2018-01-07 14:01:24 INFO  Main:16 - Test
2018-01-07 14:11:32 INFO  Main:16 - Test
2018-01-07 14:20:37 INFO  Main:16 - Test
2018-01-07 14:38:46 INFO  Main:16 - Test
